Column,Accident_Index,Accident_Severity,Date,Day_of_Week,Light_Conditions,Number_of_Casualties,Pedestrian_Crossing_Human_Control,Pedestrian_Crossing_Physical_Facilities,Police_Force,Road_Surface_Conditions,Road_Type,Special_Conditions_at_Site,Speed_limit,Time,Urban_or_Rural_Area,Weather_Conditions,Age_Band_of_Driver,Sex_of_Driver,Driver_age_sex,Vehicle_Type
6739,2016140039501,Slight,2016-01-14,Thursday,Daylight,1,0,5,South Yorkshire,Wet or damp,Single carriageway,None,30,12:30:00,Urban,Raining no high winds,21 - 25,Female,21 - 25_Female,9
6740,2016140039803,Slight,2016-01-15,Friday,Daylight,2,0,1,South Yorkshire,Dry,Single carriageway,None,30,12:58:00,Urban,Fine no high winds,21 - 25,Male,21 - 25_Male,9
6741,2016140040329,Serious,2016-01-19,Tuesday,Darkness - lights lit,1,0,0,South Yorkshire,Dry,Single carriageway,None,30,17:00:00,Urban,Fine no high winds,66 - 75,Female,66 - 75_Female,9
6742,2016140040364,Slight,2016-01-18,Monday,Daylight,1,0,0,South Yorkshire,Dry,Single carriageway,None,30,15:22:00,Urban,Fine no high winds,56 - 65,Female,56 - 65_Female,9
6743,2016140040491,Slight,2016-01-01,Friday,Darkness - lights lit,1,0,4,South Yorkshire,Wet or damp,Single carriageway,None,30,01:50:00,Urban,Fine no high winds,21 - 25,Male,21 - 25_Male,9
6744,2016140041048,Slight,2016-01-14,Thursday,Daylight,1,0,0,South Yorkshire,Wet or damp,Single carriageway,None,30,15:05:00,Urban,Fine no high winds,56 - 65,Female,56 - 65_Female,9
6745,2016140041235,Slight,2016-01-18,Monday,Darkness - lights lit,1,0,0,South Yorkshire,Dry,Single carriageway,None,30,06:20:00,Urban,Fine no high winds,66 - 75,Female,66 - 75_Female,9
6746,2016140041745,Serious,2016-01-20,Wednesday,Darkness - lights lit,1,0,0,South Yorkshire,Dry,Single carriageway,None,30,18:25:00,Urban,Fine no high winds,36 - 45,Female,36 - 45_Female,9
6747,2016140041978,Serious,2016-01-27,Wednesday,Daylight,1,0,0,South Yorkshire,Wet or damp,Single carriageway,None,30,08:50:00,Urban,Raining no high winds,46 - 55,Female,46 - 55_Female,9
6748,2016140042683,Slight,2016-01-29,Friday,Darkness - lights lit,1,0,0,South Yorkshire,Dry,Single carriageway,None,30,17:10:00,Urban,Fine no high winds,46 - 55,Female,46 - 55_Female,9
6749,2016140042696,Serious,2016-01-29,Friday,Darkness - lights lit,1,0,5,South Yorkshire,Wet or damp,Single carriageway,None,30,23:15:00,Urban,Fine no high winds,66 - 75,Male,66 - 75_Male,9
6750,2016140042785,Serious,2016-01-27,Wednesday,Darkness - lights lit,1,0,0,South Yorkshire,Wet or damp,One way street,None,30,19:10:00,Urban,Fine no high winds,26 - 35,Female,26 - 35_Female,9
6751,2016140042804,Serious,2016-01-14,Thursday,Darkness - lights lit,1,0,4,South Yorkshire,Dry,Single carriageway,None,30,18:51:00,Urban,Fine no high winds,46 - 55,Male,46 - 55_Male,9
6752,2016140042910,Slight,2016-01-31,Sunday,Darkness - lights lit,1,0,4,South Yorkshire,Wet or damp,Single carriageway,None,30,17:05:00,Urban,Raining no high winds,26 - 35,Female,26 - 35_Female,9
6753,2016140042940,Serious,2016-01-31,Sunday,Daylight,1,0,0,South Yorkshire,Wet or damp,Single carriageway,None,30,14:45:00,Rural,Raining no high winds,16 - 20,Male,16 - 20_Male,9
6754,2016140043183,Slight,2016-02-01,Monday,Darkness - lights lit,1,0,4,South Yorkshire,Dry,Dual carriageway,None,30,22:30:00,Urban,Fine no high winds,21 - 25,Male,21 - 25_Male,9
6755,2016140043211,Slight,2016-02-01,Monday,Darkness - lights lit,1,0,0,South Yorkshire,Dry,Single carriageway,Roadworks,30,20:15:00,Urban,Fine + high winds,26 - 35,Male,26 - 35_Male,9
6756,2016140043507,Slight,2016-02-03,Wednesday,Darkness - lights lit,1,0,5,South Yorkshire,Wet or damp,Single carriageway,None,30,03:18:00,Urban,Raining no high winds,36 - 45,Male,36 - 45_Male,9
6757,2016140043669,Slight,2016-01-08,Friday,Darkness - lights lit,1,0,0,South Yorkshire,Dry,Single carriageway,None,30,23:25:00,Urban,Fine no high winds,46 - 55,Male,46 - 55_Male,9
6758,2016140043934,Serious,2016-02-03,Wednesday,Darkness - lights lit,1,0,0,South Yorkshire,Dry,Single carriageway,None,30,17:45:00,Rural,Fine no high winds,56 - 65,Male,56 - 65_Male,9
6759,2016140045065,Serious,2016-02-05,Friday,Daylight,1,0,4,South Yorkshire,Wet or damp,Single carriageway,None,30,16:16:00,Urban,Fine no high winds,26 - 35,Female,26 - 35_Female,9
6760,2016140045333,Serious,2016-01-29,Friday,Darkness - lights lit,1,0,0,South Yorkshire,Dry,Single carriageway,None,20,20:59:00,Urban,Fine no high winds,56 - 65,Male,56 - 65_Male,9
6761,2016140045414,Slight,2016-02-06,Saturday,Daylight,2,0,0,South Yorkshire,Dry,One way street,None,20,13:20:00,Urban,Fine no high winds,66 - 75,Male,66 - 75_Male,9
6762,2016140045458,Slight,2016-02-06,Saturday,Daylight,1,0,0,South Yorkshire,Wet or damp,Single carriageway,None,30,09:00:00,Urban,Raining + high winds,36 - 45,Male,36 - 45_Male,9
6763,2016140045462,Slight,2016-01-21,Thursday,Darkness - lights lit,1,0,0,South Yorkshire,Dry,Single carriageway,None,30,19:05:00,Urban,Fine no high winds,26 - 35,Male,26 - 35_Male,9
6764,2016140046065,Slight,2016-02-10,Wednesday,Daylight,1,0,4,South Yorkshire,Dry,Single carriageway,None,30,15:45:00,Urban,Fine no high winds,Over 75,Female,Over 75_Female,9
6765,2016140046275,Serious,2016-02-11,Thursday,Darkness - lights lit,1,0,0,South Yorkshire,Dry,Single carriageway,None,30,18:55:00,Urban,Fine no high winds,46 - 55,Male,46 - 55_Male,9
6766,2016140046423,Serious,2016-01-25,Monday,Daylight,1,0,0,South Yorkshire,Dry,Single carriageway,None,30,16:05:00,Urban,Fine no high winds,56 - 65,Male,56 - 65_Male,9
6767,2016140046787,Serious,2016-02-13,Saturday,Darkness - lights lit,1,0,4,South Yorkshire,Dry,Dual carriageway,None,40,00:12:00,Urban,Fine + high winds,36 - 45,Male,36 - 45_Male,9
6769,2016140047244,Slight,2016-02-14,Sunday,Daylight,1,0,5,South Yorkshire,Wet or damp,Single carriageway,None,30,14:10:00,Urban,Fine no high winds,21 - 25,Male,21 - 25_Male,9
6770,2016140047376,Serious,2016-02-13,Saturday,Darkness - lights lit,1,0,0,South Yorkshire,Dry,Dual carriageway,None,40,21:10:00,Urban,Fine no high winds,36 - 45,Male,36 - 45_Male,9
6771,2016140047757,Slight,2016-01-26,Tuesday,Darkness - lights lit,1,0,0,South Yorkshire,Dry,Single carriageway,None,30,18:22:00,Urban,Fine no high winds,26 - 35,Female,26 - 35_Female,9
6772,2016140047877,Serious,2016-02-18,Thursday,Daylight,1,0,0,South Yorkshire,Dry,Single carriageway,None,30,10:29:00,Urban,Fine no high winds,26 - 35,Female,26 - 35_Female,9
6773,2016140048084,Slight,2016-02-16,Tuesday,Daylight,1,0,0,South Yorkshire,Dry,Single carriageway,None,30,16:10:00,Urban,Fine no high winds,66 - 75,Female,66 - 75_Female,9
6774,2016140048455,Slight,2016-02-20,Saturday,Daylight,1,0,0,South Yorkshire,Wet or damp,Single carriageway,None,20,14:38:00,Urban,Fine no high winds,36 - 45,Male,36 - 45_Male,9
6775,2016140048490,Slight,2016-02-19,Friday,Daylight,1,0,5,South Yorkshire,Dry,Single carriageway,None,30,15:17:00,Rural,Fine no high winds,46 - 55,Male,46 - 55_Male,9
6776,2016140048507,Slight,2016-02-20,Saturday,Darkness - lights lit,1,0,4,South Yorkshire,Dry,Single carriageway,None,30,19:11:00,Urban,Fine no high winds,21 - 25,Male,21 - 25_Male,9
6777,2016140048657,Slight,2016-02-22,Monday,Daylight,1,0,0,South Yorkshire,Dry,Single carriageway,None,20,16:40:00,Urban,Fine no high winds,16 - 20,Female,16 - 20_Female,9
6779,2016140048806,Slight,2016-02-24,Wednesday,Daylight,1,0,0,South Yorkshire,Dry,Single carriageway,None,30,07:30:00,Rural,Fine no high winds,26 - 35,Male,26 - 35_Male,9
